"","INDEX","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","TARGET_FLAG","TARGET_AMT"
"343",1686,NA,0,41,0,11,"$1,953","No","$137,081","Yes","z_F","z_High School","Home Maker",40,"Private","$5,600",12,"z_SUV","no","$36,757",3,"No",6,9,"Highly Urban/ Urban","NO",0
"344",1688,NA,0,51,0,0,"$0","No","$129,459","Yes","z_F","z_High School","Home Maker",39,"Private","$6,600",1,"Sports Car","no","$4,545",1,"No",8,6,"Highly Urban/ Urban","YES",4568.07872736267
"345",1696,NA,0,32,1,11,"$143,195","No","$346,009","Yes","M","PhD","",55,"Commercial","$23,860",1,"Panel Truck","yes","$0",0,"No",0,14,"z_Highly Rural/ Rural","NO",0
"346",1701,NA,0,41,0,12,"$19,114","No","$137,718","Yes","M","z_High School","Clerical",11,"Commercial","$5,600",7,"Pickup","no","$0",0,"No",0,1,"z_Highly Rural/ Rural","NO",0
"347",1707,NA,0,58,0,11,"$67,608","No","$244,407","Yes","M","Bachelors","Professional",40,"Private","$23,140",6,"Minivan","no","$0",0,"Yes",0,12,"Highly Urban/ Urban","NO",0
"348",1708,NA,0,59,0,15,"$198,042","No","$474,444","Yes","z_F","PhD","Doctor",36,"Private","$27,960",13,"Sports Car","no","$0",0,"Yes",0,10,"Highly Urban/ Urban","NO",0
"349",1713,NA,0,38,0,NA,"$17,028","No","$0","z_No","z_F","z_High School","Clerical",26,"Private","$14,160",6,"z_SUV","no","$5,511",1,"No",0,1,"z_Highly Rural/ Rural","NO",0
"350",1715,NA,0,66,1,17,"$88,979","No","$275,391","Yes","z_F","PhD","Lawyer",42,"Private","$10,400",9,"Sports Car","no","$0",0,"No",4,20,"Highly Urban/ Urban","NO",0
"351",1717,NA,0,29,3,NA,"$31,850","No","$180,601","Yes","z_F","<High School","z_Blue Collar",52,"Private","$9,430",7,"z_SUV","no","$0",0,"No",0,1,"z_Highly Rural/ Rural","NO",0
"352",1721,NA,3,43,3,7,"$38,430","Yes","$221,139","z_No","M","z_High School","z_Blue Collar",26,"Commercial","$17,350",4,"Van","no","$0",0,"No",1,6,"z_Highly Rural/ Rural","NO",0
"353",1724,NA,2,36,3,0,"$0","No","","Yes","z_F","<High School","Student",19,"Commercial","$23,510",6,"Pickup","no","$32,008",3,"Yes",6,1,"Highly Urban/ Urban","YES",3465.57125475569
"354",1725,NA,1,39,3,14,"$71,309","Yes","$224,123","z_No","z_F","Bachelors","Professional",87,"Private","$14,580",1,"z_SUV","no","$4,648",3,"No",3,7,"Highly Urban/ Urban","YES",3236.91095010509
"355",1730,NA,1,42,2,0,"$0","No","$97,022","Yes","z_F","z_High School","Home Maker",39,"Private","$14,840",1,"z_SUV","no","$6,844",1,"No",1,1,"z_Highly Rural/ Rural","NO",0
"356",1731,NA,0,56,0,12,"$278","No","$91,930","Yes","z_F","z_High School","Student",58,"Private","$1,530",6,"Sports Car","no","$4,611",2,"No",5,8,"Highly Urban/ Urban","YES",2951.98495075189
"357",1734,NA,0,47,0,12,"$21,063","No","$117,381","Yes","z_F","Bachelors","Clerical",42,"Commercial","$20,730",4,"Pickup","no","$4,652",2,"No",1,6,"Highly Urban/ Urban","NO",0
"358",1740,NA,0,52,0,9,"$112,481","No","$0","z_No","M","PhD","Lawyer",15,"Private","$17,950",1,"Van","yes","$0",0,"No",0,10,"Highly Urban/ Urban","NO",0
"359",1748,NA,0,58,0,12,"$119,035","No","$385,521","Yes","z_F","PhD","Doctor",12,"Private","$19,200",4,"Minivan","no","$0",0,"No",2,14,"Highly Urban/ Urban","NO",0
"360",1749,NA,0,49,0,12,"$75,311","No","$324,126","Yes","z_F","Masters","Lawyer",46,"Private","$20,960",12,"z_SUV","no","$0",0,"No",0,14,"Highly Urban/ Urban","NO",0
"361",1750,NA,0,33,1,8,"$77,719","Yes","$0","z_No","z_F","z_High School","z_Blue Collar",39,"Commercial","$9,250",6,"z_SUV","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"362",1763,NA,0,42,0,9,"$50,949","No","$227,129","z_No","z_F","Bachelors","Clerical",24,"Private","$10,790",3,"z_SUV","no","$0",0,"No",0,9,"Highly Urban/ Urban","NO",0
"363",1768,NA,0,57,0,10,"$130,831","No","$365,792","Yes","z_F","PhD","Lawyer",24,"Private","$14,580",4,"z_SUV","no","$0",0,"No",0,12,"Highly Urban/ Urban","NO",0
"364",1773,NA,2,37,2,11,"$16,238","No","$65,155","Yes","M","<High School","Clerical",33,"Private","$6,820",6,"Pickup","yes","$5,612",4,"No",0,1,"Highly Urban/ Urban","NO",0
"365",1777,NA,0,52,0,11,"$176,305","No","$453,094","z_No","M","PhD","Doctor",36,"Private","$10,950",1,"Minivan","no","$0",0,"Yes",0,17,"Highly Urban/ Urban","NO",0
"366",1778,NA,0,30,0,NA,"$47,538","No","$184,423","z_No","M","z_High School","z_Blue Collar",53,"Commercial","$29,840",13,"Minivan","no","$3,421",2,"No",4,7,"Highly Urban/ Urban","NO",0
"367",1780,NA,0,30,2,13,"$19,355","No","$95,595","Yes","z_F","Masters","Professional",39,"Private","$6,440",15,"z_SUV","no","$0",0,"No",0,9,"Highly Urban/ Urban","NO",0
"368",1782,NA,0,55,0,9,"$69,683","No","$231,225","Yes","z_F","<High School","z_Blue Collar",50,"Private","$7,000",6,"Sports Car","no","$1,174",1,"No",0,6,"Highly Urban/ Urban","NO",0
"369",1784,NA,0,46,0,11,"$78,929","No","","Yes","z_F","z_High School","z_Blue Collar",48,"Commercial","$23,710",6,"Sports Car","no","$0",0,"No",0,8,"z_Highly Rural/ Rural","NO",0
"370",1786,NA,0,47,0,7,"$18,573","No","$106,303","Yes","z_F","<High School","Clerical",36,"Private","$17,440",11,"z_SUV","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"371",1787,NA,0,59,0,11,"$131,919","No","$328,571","Yes","z_F","Bachelors","z_Blue Collar",27,"Commercial","$19,580",6,"z_SUV","no","$0",0,"No",0,6,"Highly Urban/ Urban","NO",0
"372",1792,NA,0,44,0,11,"$89,474","No","$0","z_No","M","PhD","",11,"Commercial","$26,450",6,"Panel Truck","yes","$3,845",2,"No",0,16,"Highly Urban/ Urban","NO",0
"373",1800,NA,1,40,1,10,"$131,449","Yes","$0","z_No","z_F","Masters","",18,"Commercial","$31,080",13,"Van","no","$6,895",3,"No",4,11,"Highly Urban/ Urban","YES",3363.06342988425
"374",1801,NA,0,45,0,11,"$36,745","No","$0","z_No","M","z_High School","z_Blue Collar",45,"Private","$13,940",11,"Minivan","no","$0",0,"No",1,NA,"Highly Urban/ Urban","NO",0
"375",1803,NA,0,53,0,12,"$45,387","No","$162,853","Yes","z_F","Masters","Lawyer",38,"Private","$6,040",7,"z_SUV","no","$0",0,"No",0,13,"Highly Urban/ Urban","NO",0
"376",1804,NA,0,35,0,13,"$7,163","No","$0","z_No","M","z_High School","Student",50,"Commercial","$6,580",6,"Pickup","yes","$0",0,"No",1,9,"Highly Urban/ Urban","YES",2196.74177842997
"377",1807,NA,0,51,0,12,"$257,228","No","$588,089","Yes","M","PhD","Doctor",40,"Private","$35,650",4,"Minivan","yes","$0",0,"No",0,16,"Highly Urban/ Urban","NO",0
"378",1818,NA,0,52,0,11,"","No","$0","z_No","M","PhD","Manager",35,"Commercial","$23,320",9,"Panel Truck","no","$0",0,"No",3,8,"Highly Urban/ Urban","NO",0
"379",1821,NA,0,51,0,8,"$74,003","No","$249,395","Yes","M","z_High School","z_Blue Collar",29,"Commercial","$31,780",1,"Panel Truck","yes","$0",0,"No",0,10,"z_Highly Rural/ Rural","NO",0
"380",1822,NA,2,43,2,14,"$71,964","No","$225,292","Yes","z_F","z_High School","Home Maker",57,"Private","$21,680",4,"z_SUV","no","$0",0,"No",5,1,"z_Highly Rural/ Rural","NO",0
"381",1828,NA,0,48,0,12,"$128,974","No","$315,897","Yes","z_F","Masters","Lawyer",54,"Private","$28,690",11,"Pickup","no","$0",0,"No",4,NA,"Highly Urban/ Urban","NO",0
"382",1833,NA,0,25,1,12,"$17,352","Yes","$112,808","z_No","z_F","<High School","z_Blue Collar",9,"Private","$9,250",14,"z_SUV","no","$0",0,"No",0,6,"Highly Urban/ Urban","YES",3372.75944458234
"383",1844,NA,0,55,0,13,"$55,532","No","$198,229","Yes","M","z_High School","Professional",26,"Commercial","$24,010",4,"Panel Truck","no","$7,903",2,"No",1,1,"Highly Urban/ Urban","NO",0
"384",1847,NA,0,31,1,0,"$0","No","$0","Yes","M","<High School","Student",18,"Private","$4,600",9,"Pickup","yes","$6,542",1,"No",3,1,"Highly Urban/ Urban","NO",0
"385",1850,NA,0,46,0,8,"$75,614","No","$188,804","Yes","M","Masters","Manager",35,"Private","$13,660",4,"Minivan","yes","$0",0,"No",3,14,"Highly Urban/ Urban","NO",0
"386",1854,NA,0,65,0,14,"","No","$231,739","Yes","z_F","Masters","Lawyer",45,"Private","$13,350",10,"Sports Car","no","$35,530",3,"Yes",5,9,"Highly Urban/ Urban","YES",3123.1332205575
"387",1858,NA,0,43,2,12,"","No","$227,476","Yes","M","Bachelors","z_Blue Collar",46,"Commercial","$19,610",7,"Van","yes","$4,704",3,"No",1,11,"Highly Urban/ Urban","NO",0
"388",1864,NA,0,36,0,12,"$32,278","No","$156,388","Yes","z_F","Bachelors","Professional",30,"Private","$5,300",4,"z_SUV","no","$0",0,"No",0,8,"Highly Urban/ Urban","NO",0
"389",1867,NA,0,29,4,13,"$62,151","No","$193,997","Yes","z_F","PhD","",50,"Private","$10,620",10,"Minivan","no","$0",0,"No",0,12,"Highly Urban/ Urban","NO",0
"390",1876,NA,0,27,4,0,"$0","No","$0","Yes","M","z_High School","Student",45,"Commercial","$4,400",7,"Minivan","no","$0",0,"Yes",1,1,"Highly Urban/ Urban","YES",1951.6696854611
"391",1880,NA,0,47,0,NA,"$167,760","No","$0","z_No","M","PhD","",23,"Commercial","$22,980",1,"Panel Truck","yes","$0",0,"No",0,17,"Highly Urban/ Urban","NO",0
"392",1881,NA,0,40,0,11,"$60,445","No","$207,455","Yes","z_F","z_High School","Manager",30,"Private","$11,540",15,"Minivan","no","$1,372",2,"No",5,1,"Highly Urban/ Urban","NO",0
"393",1891,NA,0,30,1,11,"$77,170","No","$250,064","Yes","z_F","Masters","",39,"Private","$9,220",4,"z_SUV","no","$1,243",1,"No",1,16,"Highly Urban/ Urban","NO",0
"394",1894,NA,0,42,0,2,"$34,072","No","$160,862","Yes","M","<High School","Clerical",38,"Commercial","$27,420",13,"Panel Truck","yes","$32,610",1,"No",0,6,"Highly Urban/ Urban","NO",0
"395",1895,NA,1,43,2,13,"$35,193","No","$172,258","Yes","z_F","z_High School","z_Blue Collar",31,"Commercial","$12,820",14,"z_SUV","no","$0",0,"No",0,1,"z_Highly Rural/ Rural","NO",0
"396",1901,NA,0,30,3,13,"$69,512","No","$187,162","Yes","z_F","Bachelors","z_Blue Collar",43,"Commercial","$13,330",1,"z_SUV","no","$0",0,"No",2,9,"Highly Urban/ Urban","NO",0
"397",1905,NA,0,47,0,12,"$108,892","No","$306,026","Yes","z_F","Bachelors","Professional",21,"Private","$25,860",9,"z_SUV","no","$0",0,"No",1,1,"Highly Urban/ Urban","NO",0
"398",1912,NA,1,45,1,NA,"$63,952","No","$196,368","Yes","z_F","Masters","Lawyer",50,"Private","$14,620",1,"z_SUV","no","$3,799",2,"No",0,13,"Highly Urban/ Urban","YES",1812.63852474792
"399",1918,NA,1,41,2,14,"$45,298","No","$189,778","Yes","M","z_High School","z_Blue Collar",5,"Commercial","$16,000",1,"Minivan","yes","$8,584",2,"No",0,1,"Highly Urban/ Urban","NO",0
"400",1921,NA,0,30,2,8,"$17,532","Yes","","z_No","M","z_High School","Clerical",53,"Commercial","$6,250",1,"Pickup","yes","$0",0,"Yes",0,1,"z_Highly Rural/ Rural","NO",0
"401",1923,NA,0,38,0,9,"$39,547","No","$129,938","Yes","z_F","Bachelors","Clerical",43,"Private","$27,940",3,"Sports Car","no","$0",0,"Yes",0,NA,"Highly Urban/ Urban","NO",0
"402",1924,NA,0,38,0,12,"","No","$354,624","Yes","z_F","Bachelors","Professional",33,"Private","$20,850",1,"Sports Car","no","$7,733",3,"No",0,NA,"Highly Urban/ Urban","NO",0
"403",1931,NA,1,40,2,16,"$84,594","No","$263,300","Yes","z_F","Masters","Lawyer",26,"Private","$13,960",1,"Minivan","no","$0",0,"No",0,19,"Highly Urban/ Urban","NO",0
"404",1941,NA,0,52,0,13,"$40,833","No","$159,144","Yes","M","<High School","z_Blue Collar",66,"Commercial","$10,780",4,"Pickup","yes","$0",0,"No",0,4,"z_Highly Rural/ Rural","NO",0
"405",1950,NA,0,46,0,12,"$132,651","No","$340,258","Yes","z_F","Masters","Professional",11,"Commercial","$24,800",6,"Pickup","no","$0",0,"No",0,12,"Highly Urban/ Urban","NO",0
"406",1951,NA,0,44,0,12,"$43,650","No","$116,191","Yes","z_F","Masters","Lawyer",32,"Private","$10,270",1,"Sports Car","no","$0",0,"No",0,11,"Highly Urban/ Urban","NO",0
"407",1954,NA,0,43,0,11,"$23,486","No","$0","z_No","z_F","Bachelors","Home Maker",5,"Private","$8,070",1,"Minivan","no","$0",0,"No",0,12,"z_Highly Rural/ Rural","NO",0
"408",1961,NA,0,44,0,4,"$109,624","No","$0","z_No","M","Bachelors","Manager",29,"Commercial","$21,170",3,"Van","no","$54,399",4,"No",6,14,"Highly Urban/ Urban","NO",0
"409",1966,NA,0,43,2,15,"$43,808","No","$176,022","Yes","M","Bachelors","Professional",55,"Private","$10,280",10,"Minivan","no","$0",0,"No",2,7,"z_Highly Rural/ Rural","NO",0
"410",1979,NA,0,41,0,13,"$49,662","No","$221,544","Yes","z_F","Bachelors","Clerical",31,"Private","$19,730",1,"Pickup","no","$0",0,"No",0,9,"Highly Urban/ Urban","NO",0
"411",1982,NA,0,55,0,13,"","No","$0","z_No","M","Masters","Lawyer",8,"Private","$19,710",6,"Minivan","yes","$0",0,"No",0,17,"Highly Urban/ Urban","NO",0
"412",1987,NA,0,42,0,7,"$76,034","No","$0","z_No","z_F","z_High School","z_Blue Collar",39,"Commercial","$11,880",1,"z_SUV","no","$0",0,"Yes",0,5,"Highly Urban/ Urban","YES",2159.7547591908
"413",1997,NA,0,52,0,13,"$160,405","No","$0","z_No","M","Masters","Manager",8,"Commercial","$19,170",1,"Van","no","$16,951",5,"No",3,11,"Highly Urban/ Urban","NO",0
"414",2004,NA,0,46,0,13,"$170,949","No","$458,806","Yes","M","PhD","Manager",30,"Private","$23,730",1,"Minivan","no","$0",0,"No",0,15,"Highly Urban/ Urban","NO",0
"415",2011,NA,0,40,1,11,"$29,310","No","$118,987","Yes","M","z_High School","Clerical",5,"Commercial","$9,240",1,"Pickup","no","$0",0,"Yes",1,2,"Highly Urban/ Urban","YES",1768.52503979355
"416",2015,NA,0,57,2,0,"$0","No","$82,024","Yes","z_F","Bachelors","Home Maker",14,"Private","$1,500",6,"z_SUV","no","$8,694",3,"No",1,5,"Highly Urban/ Urban","YES",1670.7686221988
"417",2025,NA,0,59,0,11,"$39,763","No","$190,272","Yes","z_F","Bachelors","Home Maker",13,"Commercial","$21,190",7,"Pickup","no","$0",0,"No",1,10,"z_Highly Rural/ Rural","NO",0
"418",2033,NA,0,38,2,14,"$57,684","Yes","$189,247","z_No","z_F","Bachelors","Professional",22,"Private","$5,300",10,"Sports Car","no","$5,892",2,"No",0,17,"Highly Urban/ Urban","NO",0
"419",2034,NA,1,38,2,13,"$58,193","No","$199,571","Yes","M","Bachelors","z_Blue Collar",24,"Private","$26,650",10,"Minivan","no","$0",0,"No",1,8,"z_Highly Rural/ Rural","NO",0
"420",2035,NA,1,62,1,11,"$66,784","No","$262,589","Yes","M","Bachelors","Manager",49,"Private","$29,350",1,"z_SUV","yes","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"421",2036,NA,0,51,0,0,"$0","No","$0","z_No","z_F","Bachelors","Home Maker",33,"Private","$4,270",4,"Sports Car","no","$0",0,"No",5,9,"Highly Urban/ Urban","YES",2402.5065344997
"422",2053,NA,0,50,0,8,"$21,567","No","$149,254","Yes","M","<High School","z_Blue Collar",42,"Commercial","$17,990",1,"Van","no","$5,228",2,"No",5,1,"Highly Urban/ Urban","NO",0
"423",2059,NA,0,37,3,15,"$72,019","Yes","$0","z_No","z_F","Bachelors","Professional",46,"Private","$12,400",1,"z_SUV","no","$1,109",3,"No",8,1,"Highly Urban/ Urban","YES",5341.6940865143
"424",2060,NA,0,33,3,12,"$14,369","No","$142,305","Yes","z_F","<High School","Clerical",37,"Private","$32,280",10,"z_SUV","no","$0",0,"No",4,6,"z_Highly Rural/ Rural","NO",0
"425",2073,NA,0,43,0,0,"$0","No","","Yes","z_F","z_High School","Home Maker",32,"Private","$14,530",1,"Minivan","no","$8,894",3,"No",0,12,"Highly Urban/ Urban","NO",0
"426",2084,NA,0,42,0,12,"$4,215","No","$0","Yes","z_F","<High School","Student",23,"Private","$6,120",12,"z_SUV","no","$4,995",3,"No",5,1,"Highly Urban/ Urban","NO",0
"427",2089,NA,0,40,1,11,"$71,293","Yes","$164,600","z_No","z_F","Bachelors","z_Blue Collar",27,"Commercial","$8,630",3,"z_SUV","no","$0",0,"No",0,12,"z_Highly Rural/ Rural","NO",0
"428",2092,NA,0,32,2,13,"$34,368","No","$142,365","Yes","z_F","<High School","z_Blue Collar",48,"Private","$7,640",17,"Sports Car","no","$0",0,"No",2,1,"Highly Urban/ Urban","NO",0
"429",2109,NA,0,49,0,14,"$28,696","No","$164,841","z_No","M","Bachelors","Clerical",49,"Commercial","$5,920",4,"Pickup","yes","$0",0,"No",0,7,"Highly Urban/ Urban","NO",0
"430",2129,NA,0,66,1,14,"$45,876","No","$207,530","Yes","z_F","z_High School","Professional",30,"Private","$18,880",3,"Sports Car","no","$28,353",1,"No",7,1,"Highly Urban/ Urban","NO",0
"431",2134,NA,0,46,0,6,"$106,711","No","$312,123","Yes","z_F","z_High School","z_Blue Collar",26,"Commercial","$12,630",4,"z_SUV","no","$9,091",3,"No",0,10,"Highly Urban/ Urban","NO",0
"432",2135,NA,0,39,0,14,"$167,127","No","$468,778","Yes","M","PhD","Lawyer",25,"Private","$20,910",10,"Minivan","yes","$0",0,"No",1,13,"Highly Urban/ Urban","NO",0
"433",2148,NA,0,55,1,15,"$67,140","No","$228,964","Yes","z_F","Bachelors","z_Blue Collar",72,"Commercial","$21,130",9,"Minivan","no","$0",0,"No",0,12,"z_Highly Rural/ Rural","NO",0
"434",2149,NA,1,40,2,14,"","No","$123,204","Yes","M","<High School","z_Blue Collar",33,"Private","$7,530",6,"Minivan","yes","$0",0,"No",0,1,"z_Highly Rural/ Rural","NO",0
"435",2150,NA,0,46,0,13,"$23,863","No","$143,184","Yes","M","Masters","Lawyer",44,"Private","$11,320",1,"Pickup","yes","$7,387",2,"No",4,18,"Highly Urban/ Urban","NO",0
"436",2165,NA,1,41,2,10,"$132,114","Yes","$0","z_No","M","Masters","",33,"Commercial","$18,810",3,"Van","no","$943",2,"No",5,13,"Highly Urban/ Urban","YES",4251.66090749751
"437",2166,NA,0,45,0,13,"$117,609","No","$362,233","Yes","M","Masters","Lawyer",5,"Private","$17,760",4,"Van","yes","$0",0,"No",0,23,"Highly Urban/ Urban","NO",0
"438",2168,NA,0,56,0,12,"$184,068","No","$0","z_No","M","PhD","Doctor",31,"Private","$33,080",7,"Minivan","no","$0",0,"No",2,13,"Highly Urban/ Urban","NO",0
"439",2170,NA,0,41,0,12,"$75,080","No","$237,088","Yes","z_F","Bachelors","Manager",37,"Private","$9,010",1,"z_SUV","no","$6,244",2,"No",4,3,"Highly Urban/ Urban","NO",0
"440",2171,NA,0,46,0,10,"$76,744","No","$231,484","z_No","z_F","Bachelors","z_Blue Collar",62,"Private","$15,300",16,"z_SUV","no","$0",0,"No",0,10,"Highly Urban/ Urban","NO",0
"441",2172,NA,0,39,0,7,"$140,469","No","$351,523","Yes","z_F","Bachelors","Manager",8,"Private","$29,170",1,"Pickup","no","$0",0,"No",0,13,"Highly Urban/ Urban","NO",0
"442",2176,NA,0,53,0,12,"$38,720","No","$183,228","Yes","M","Bachelors","z_Blue Collar",29,"Commercial","$10,670",6,"Minivan","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"443",2182,NA,0,45,0,13,"$69,852","No","$214,714","Yes","z_F","Bachelors","Professional",10,"Private","$6,000",11,"z_SUV","no","$0",0,"No",0,8,"Highly Urban/ Urban","NO",0
"444",2189,NA,1,36,1,9,"$3,747","No","$0","Yes","z_F","z_High School","Student",38,"Commercial","$5,100",10,"Sports Car","no","$0",0,"No",3,10,"z_Highly Rural/ Rural","NO",0
"445",2191,NA,0,49,0,0,"$0","No","$0","z_No","M","z_High School","Student",64,"Private","$2,630",10,"Minivan","yes","$0",0,"No",0,7,"z_Highly Rural/ Rural","NO",0
"446",2197,NA,0,59,2,16,"$35,192","No","$165,343","Yes","z_F","z_High School","Clerical",30,"Private","$10,920",7,"z_SUV","no","$0",0,"No",0,3,"z_Highly Rural/ Rural","NO",0
"447",2202,NA,0,40,3,0,"$0","Yes","$92,488","z_No","z_F","z_High School","Home Maker",28,"Private","$7,120",7,"Sports Car","no","$0",0,"No",3,6,"z_Highly Rural/ Rural","NO",0
"448",2203,NA,0,53,0,13,"$189,509","No","$0","z_No","z_F","PhD","Manager",36,"Private","$27,680",1,"z_SUV","no","$0",0,"No",3,17,"Highly Urban/ Urban","NO",0
"449",2204,NA,0,40,0,9,"$25,505","No","$0","z_No","z_F","z_High School","z_Blue Collar",40,"Commercial","$17,330",1,"z_SUV","no","$0",0,"No",1,10,"Highly Urban/ Urban","YES",2155.01234838059
"450",2206,NA,1,40,2,15,"$30,324","Yes","$0","z_No","z_F","<High School","z_Blue Collar",27,"Private","$11,590",1,"z_SUV","no","$0",0,"No",5,6,"Highly Urban/ Urban","YES",3648.11421646555
"451",2218,NA,0,39,1,11,"$61,793","No","$226,016","Yes","z_F","Masters","Professional",26,"Private","$28,290",6,"Pickup","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"452",2219,NA,0,57,0,14,"$62,894","No","$242,043","Yes","M","Bachelors","Professional",38,"Private","$14,870",7,"Minivan","yes","$3,989",1,"No",7,11,"Highly Urban/ Urban","NO",0
"453",2221,NA,0,50,0,13,"$63,799","No","$0","z_No","M","<High School","z_Blue Collar",43,"Private","$16,050",1,"Minivan","yes","$3,754",1,"No",3,1,"Highly Urban/ Urban","NO",0
"454",2226,NA,1,40,3,9,"$130,051","No","$379,840","Yes","z_F","Bachelors","z_Blue Collar",23,"Commercial","$23,470",11,"Minivan","no","$0",0,"No",2,9,"Highly Urban/ Urban","NO",0
"455",2228,NA,0,46,0,10,"$35,678","No","","z_No","z_F","Bachelors","Student",73,"Commercial","$12,610",14,"z_SUV","no","$0",0,"No",0,8,"Highly Urban/ Urban","NO",0
"456",2232,NA,0,51,0,11,"$51,605","No","$0","z_No","M","<High School","z_Blue Collar",41,"Private","$15,100",4,"Minivan","yes","$30,605",1,"Yes",5,7,"Highly Urban/ Urban","NO",0
"457",2236,NA,0,35,3,11,"$88,117","Yes","$236,440","z_No","z_F","Bachelors","z_Blue Collar",55,"Commercial","$17,400",6,"Minivan","no","$0",0,"No",0,10,"Highly Urban/ Urban","NO",0
"458",2241,NA,0,59,0,13,"$63,969","No","$187,263","z_No","z_F","z_High School","z_Blue Collar",42,"Commercial","$16,210",4,"Pickup","no","$4,733",3,"No",11,1,"Highly Urban/ Urban","YES",5772.24158865183
"459",2245,NA,0,54,0,12,"$102,295","No","$299,916","z_No","M","PhD","Manager",18,"Private","$14,320",4,"Minivan","no","$0",0,"No",0,15,"Highly Urban/ Urban","NO",0
"460",2251,NA,0,35,2,0,"$0","No","$75,659","Yes","z_F","<High School","Student",29,"Private","$6,140",10,"Sports Car","no","$10,139",1,"No",0,1,"Highly Urban/ Urban","NO",0
"461",2255,NA,0,55,0,9,"$41,159","No","$190,351","Yes","M","<High School","Clerical",28,"Commercial","$11,120",6,"Pickup","no","$0",0,"No",0,6,"z_Highly Rural/ Rural","NO",0
"462",2256,NA,0,54,0,15,"$48,466","No","$187,224","Yes","z_F","Bachelors","z_Blue Collar",41,"Commercial","$29,490",4,"Minivan","no","$0",0,"No",0,3,"z_Highly Rural/ Rural","NO",0
"463",2259,NA,0,52,0,10,"$2,680","No","$0","z_No","z_F","PhD","Home Maker",53,"Private","$11,380",11,"Minivan","no","$0",0,"No",0,17,"z_Highly Rural/ Rural","NO",0
"464",2263,NA,2,36,2,9,"$69,434","No","$230,609","Yes","M","Bachelors","z_Blue Collar",49,"Private","$3,860",4,"Minivan","yes","$3,367",2,"No",0,7,"Highly Urban/ Urban","YES",2068.67161490553
"465",2264,NA,0,57,0,NA,"$77,686","No","$240,777","Yes","M","PhD","Doctor",27,"Private","$27,020",6,"Minivan","yes","$0",0,"No",3,NA,"Highly Urban/ Urban","NO",0
"466",2267,NA,0,45,0,6,"$75,109","No","$277,896","z_No","M","Masters","Lawyer",26,"Private","$15,350",1,"Minivan","yes","$0",0,"No",0,19,"Highly Urban/ Urban","NO",0
"467",2273,NA,1,42,3,11,"$59,800","Yes","$0","z_No","M","z_High School","Clerical",37,"Private","$11,680",3,"Pickup","yes","$6,914",3,"No",5,1,"Highly Urban/ Urban","YES",3961.75081601731
"468",2277,NA,0,29,1,0,"$0","No","$0","Yes","z_F","z_High School","Home Maker",42,"Private","$10,860",1,"z_SUV","no","$0",0,"Yes",0,1,"Highly Urban/ Urban","YES",1458.93573507231
"469",2287,NA,0,47,0,11,"$46,812","No","$166,668","Yes","M","Masters","Lawyer",36,"Private","$10,880",10,"Pickup","no","$0",0,"Yes",0,16,"Highly Urban/ Urban","NO",0
"470",2289,NA,0,46,0,11,"$97,475","No","","z_No","z_F","z_High School","Manager",51,"Private","$21,440",4,"Sports Car","no","$8,393",1,"No",5,7,"Highly Urban/ Urban","NO",0
"471",2291,NA,0,46,0,16,"$46,018","No","","Yes","z_F","Bachelors","Professional",13,"Private","$16,700",4,"Minivan","no","$1,003",1,"No",0,12,"Highly Urban/ Urban","NO",0
"472",2296,NA,0,30,0,0,"$0","No","$0","z_No","M","z_High School","Student",25,"Commercial","$4,500",1,"Pickup","yes","$2,409",3,"No",3,9,"Highly Urban/ Urban","YES",2822.47279555366
"473",2299,NA,0,43,2,10,"$27,496","No","$152,043","Yes","z_F","<High School","Clerical",47,"Commercial","$35,890",6,"Panel Truck","yes","$0",0,"Yes",0,NA,"z_Highly Rural/ Rural","NO",0
"474",2306,NA,0,37,0,12,"$49,548","No","$0","z_No","z_F","z_High School","Clerical",29,"Private","$7,120",6,"z_SUV","no","$0",0,"No",0,1,"z_Highly Rural/ Rural","NO",0
"475",2314,NA,0,57,0,11,"$93,401","No","$0","z_No","z_F","Bachelors","Manager",12,"Commercial","$28,100",6,"Pickup","no","$7,314",2,"No",5,13,"Highly Urban/ Urban","NO",0
"476",2317,NA,0,51,0,12,"$82,886","No","$237,613","Yes","z_F","PhD","Home Maker",26,"Private","$21,480",3,"Sports Car","no","$26,426",2,"No",3,17,"z_Highly Rural/ Rural","NO",0
"477",2318,NA,3,40,3,12,"$47,456","No","$165,012","Yes","M","z_High School","z_Blue Collar",36,"Commercial","$25,920",1,"Panel Truck","no","$3,402",1,"No",0,5,"Highly Urban/ Urban","YES",3046.02365658168
